,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
5,2155 STRAUSS STREET,2017-01-03,Residential,BROOKLYN,11212,40.661121,-73.914361,Brownsville
8,85 EAST 10TH STREET,2017-06-08,Residential,MANHATTAN,10003,40.731028,-73.989753,East Village
14,63-60 102ND STREET,2017-04-14,Residential,QUEENS,11374,40.732226,-73.853817,Forest Hills
39,220 W 122ND STREET,2017-06-13,Residential,MANHATTAN,10027,40.80741,-73.950638,Central Harlem South
48,8312 77TH AVE,2017-02-27,Residential,QUEENS,11385,40.706651,-73.865913,Glendale
51,223-45 113TH DRIVE,2017-04-12,Residential,QUEENS,11429,40.702475,-73.733956,Cambria Heights
56,253-02 ROCKAWAY BLVD,2017-03-31,Commercial,QUEENS,11422,40.636035,-73.740274,Rosedale
58,2049 20TH LANE,2017-05-25,Residential,BROOKLYN,11214,40.597915,-74.003194,Bath Beach
79,452 EUCLID AVENUE,2017-06-27,Residential,BROOKLYN,11208,40.67617,-73.872114,East New York
88,357 EAST 201 STREET,2017-03-08,Residential,BRONX,10458,40.869586,-73.882632,Bedford Park-Fordham North
89,1760 STORY AVENUE,2017-04-24,Residential,BRONX,10473,40.823177,-73.866437,Soundview-Castle Hill-Clason Point-Harding Park
90,2743 SEYMOUR AVE,2017-02-03,Residential,BRONX,10469,40.865934,-73.846235,Allerton-Pelham Gardens
101,3030 EMMONS AVENUE,2017-02-02,Residential,BROOKLYN,11235,40.583919,-73.937886,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
102,16 METROPOLITAN OVAL,2017-03-30,Residential,BRONX,10462,40.83827,-73.859135,Parkchester
116,88-15 168TH STREET,2017-05-23,Commercial,QUEENS,11432,40.709153,-73.794231,Jamaica
117,726 EAST 152ND STREET,2017-04-04,Residential,BRONX,10455,40.816005,-73.907976,Melrose South-Mott Haven North
137,636 E 224TH ST,2017-05-15,Residential,BRONX,10466,40.887729,-73.86285,Williamsbridge-Olinville
146,23 BROOK STREET,2017-04-26,Residential,STATEN ISLAND,10301,40.63723,-74.081436,West New Brighton-New Brighton-St. George
